trial_id,lr_balance_weight,makespan_weight,balance_weight,production_line_avg_time_weight,production_line_balance_weight,aisle_dispersion_weight,inbound_wait_weight,outbound_choice_bonus_weight,log_proposed_proposed_optimization,avg_completion_proposed_proposed_optimization_hours,relocations_proposed_proposed_optimization,final_balance_proposed_proposed_optimization,pairing_with_solo_proposed_proposed_optimization_pct,log_baseline_baseline_optimization,avg_completion_baseline_baseline_optimization_hours,relocations_baseline_baseline_optimization,final_balance_baseline_baseline_optimization,pairing_with_solo_baseline_baseline_optimization_pct,avg_completion_mean_hours,relocations_mean,pairing_with_solo_mean_pct
1,0.1,0.01,0.1,0.01,0.0,0.5,-0.1,0.5,logs\opt_weight_search\trial0001-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0001-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
2,0.1,0.01,0.1,0.01,0.0,0.5,-0.1,1.0,logs\opt_weight_search\trial0002-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0002-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
3,0.1,0.01,0.1,0.01,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0003-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0003-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
4,0.1,0.01,0.1,0.01,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0004-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0004-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
5,0.1,0.01,0.1,0.01,0.0,0.5,0,0.5,logs\opt_weight_search\trial0005-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0005-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
6,0.1,0.01,0.1,0.01,0.0,0.5,0,1.0,logs\opt_weight_search\trial0006-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0006-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
7,0.1,0.01,0.1,0.01,0.0,0.5,0.01,0.5,logs\opt_weight_search\trial0007-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0007-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
8,0.1,0.01,0.1,0.01,0.0,0.5,0.01,1.0,logs\opt_weight_search\trial0008-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0008-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
9,0.1,0.01,0.1,0.01,0.1,0.5,-0.1,0.5,logs\opt_weight_search\trial0009-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0009-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
10,0.1,0.01,0.1,0.01,0.1,0.5,-0.1,1.0,logs\opt_weight_search\trial0010-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0010-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
11,0.1,0.01,0.1,0.01,0.1,0.5,-0.01,0.5,logs\opt_weight_search\trial0011-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0011-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
12,0.1,0.01,0.1,0.01,0.1,0.5,-0.01,1.0,logs\opt_weight_search\trial0012-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0012-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
13,0.1,0.01,0.1,0.01,0.1,0.5,0,0.5,logs\opt_weight_search\trial0013-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0013-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
14,0.1,0.01,0.1,0.01,0.1,0.5,0,1.0,logs\opt_weight_search\trial0014-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0014-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
15,0.1,0.01,0.1,0.01,0.1,0.5,0.01,0.5,logs\opt_weight_search\trial0015-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0015-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
16,0.1,0.01,0.1,0.01,0.1,0.5,0.01,1.0,logs\opt_weight_search\trial0016-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0016-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
17,0.1,0.01,0.1,0.05,0.0,0.5,-0.1,0.5,logs\opt_weight_search\trial0017-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0017-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
18,0.1,0.01,0.1,0.05,0.0,0.5,-0.1,1.0,logs\opt_weight_search\trial0018-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0018-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
19,0.1,0.01,0.1,0.05,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0019-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0019-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
20,0.1,0.01,0.1,0.05,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0020-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0020-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
21,0.1,0.01,0.1,0.05,0.0,0.5,0,0.5,logs\opt_weight_search\trial0021-prop-prop-opt.log,6.444472222222222,92,,77.5,logs\opt_weight_search\trial0021-base-base-opt.log,6.769909722222223,106,,75.0,6.607190972222222,99.0,76.25
22,0.1,0.01,0.1,0.05,0.0,0.5,0,1.0,logs\opt_weight_search\trial0022-prop-prop-opt.log,6.444472222222222,92,,77.5,logs\opt_weight_search\trial0022-base-base-opt.log,6.769909722222223,106,,75.0,6.607190972222222,99.0,76.25
23,0.1,0.01,0.1,0.05,0.0,0.5,0.01,0.5,logs\opt_weight_search\trial0023-prop-prop-opt.log,6.536409722222222,108,,78.0,logs\opt_weight_search\trial0023-base-base-opt.log,6.874743055555555,133,,76.5,6.705576388888889,120.5,77.25
24,0.1,0.01,0.1,0.05,0.0,0.5,0.01,1.0,logs\opt_weight_search\trial0024-prop-prop-opt.log,6.536409722222222,108,,78.0,logs\opt_weight_search\trial0024-base-base-opt.log,6.874743055555555,133,,76.5,6.705576388888889,120.5,77.25
25,0.1,0.01,0.1,0.05,0.1,0.5,-0.1,0.5,logs\opt_weight_search\trial0025-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0025-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
26,0.1,0.01,0.1,0.05,0.1,0.5,-0.1,1.0,logs\opt_weight_search\trial0026-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0026-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
27,0.1,0.01,0.1,0.05,0.1,0.5,-0.01,0.5,logs\opt_weight_search\trial0027-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0027-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
28,0.1,0.01,0.1,0.05,0.1,0.5,-0.01,1.0,logs\opt_weight_search\trial0028-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0028-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
29,0.1,0.01,0.1,0.05,0.1,0.5,0,0.5,logs\opt_weight_search\trial0029-prop-prop-opt.log,6.444472222222222,92,,77.5,logs\opt_weight_search\trial0029-base-base-opt.log,6.769909722222223,106,,75.0,6.607190972222222,99.0,76.25
30,0.1,0.01,0.1,0.05,0.1,0.5,0,1.0,logs\opt_weight_search\trial0030-prop-prop-opt.log,6.444472222222222,92,,77.5,logs\opt_weight_search\trial0030-base-base-opt.log,6.769909722222223,106,,75.0,6.607190972222222,99.0,76.25
31,0.1,0.01,0.1,0.05,0.1,0.5,0.01,0.5,logs\opt_weight_search\trial0031-prop-prop-opt.log,6.536409722222222,108,,78.0,logs\opt_weight_search\trial0031-base-base-opt.log,6.874743055555555,133,,76.5,6.705576388888889,120.5,77.25
32,0.1,0.01,0.1,0.05,0.1,0.5,0.01,1.0,logs\opt_weight_search\trial0032-prop-prop-opt.log,6.536409722222222,108,,78.0,logs\opt_weight_search\trial0032-base-base-opt.log,6.874743055555555,133,,76.5,6.705576388888889,120.5,77.25
33,0.1,0.05,0.1,0.01,0.0,0.5,-0.1,0.5,logs\opt_weight_search\trial0033-prop-prop-opt.log,5.963666666666667,103,,78.5,logs\opt_weight_search\trial0033-base-base-opt.log,6.743479166666667,143,,72.5,6.353572916666667,123.0,75.5
34,0.1,0.05,0.1,0.01,0.0,0.5,-0.1,1.0,logs\opt_weight_search\trial0034-prop-prop-opt.log,5.963666666666667,103,,78.5,logs\opt_weight_search\trial0034-base-base-opt.log,6.743479166666667,143,,72.5,6.353572916666667,123.0,75.5
35,0.1,0.05,0.1,0.01,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0035-prop-prop-opt.log,6.353048611111111,90,,75.5,logs\opt_weight_search\trial0035-base-base-opt.log,6.587562500000001,108,,77.5,6.470305555555556,99.0,76.5
36,0.1,0.05,0.1,0.01,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0036-prop-prop-opt.log,6.353048611111111,90,,75.5,logs\opt_weight_search\trial0036-base-base-opt.log,6.587562500000001,108,,77.5,6.470305555555556,99.0,76.5
37,0.1,0.05,0.1,0.01,0.0,0.5,0,0.5,logs\opt_weight_search\trial0037-prop-prop-opt.log,6.248458333333334,109,,79.0,logs\opt_weight_search\trial0037-base-base-opt.log,6.884388888888889,109,,73.5,6.566423611111111,109.0,76.25
38,0.1,0.05,0.1,0.01,0.0,0.5,0,1.0,logs\opt_weight_search\trial0038-prop-prop-opt.log,6.248458333333334,109,,79.0,logs\opt_weight_search\trial0038-base-base-opt.log,6.884388888888889,109,,73.5,6.566423611111111,109.0,76.25
39,0.1,0.05,0.1,0.01,0.0,0.5,0.01,0.5,logs\opt_weight_search\trial0039-prop-prop-opt.log,6.313861111111111,98,,78.5,logs\opt_weight_search\trial0039-base-base-opt.log,6.870708333333333,105,,80.0,6.592284722222222,101.5,79.25
40,0.1,0.05,0.1,0.01,0.0,0.5,0.01,1.0,logs\opt_weight_search\trial0040-prop-prop-opt.log,6.313861111111111,98,,78.5,logs\opt_weight_search\trial0040-base-base-opt.log,6.870708333333333,105,,80.0,6.592284722222222,101.5,79.25
41,0.1,0.05,0.1,0.01,0.1,0.5,-0.1,0.5,logs\opt_weight_search\trial0041-prop-prop-opt.log,5.962118055555555,103,,79.0,logs\opt_weight_search\trial0041-base-base-opt.log,6.841034722222222,141,,77.5,6.401576388888889,122.0,78.25
42,0.1,0.05,0.1,0.01,0.1,0.5,-0.1,1.0,logs\opt_weight_search\trial0042-prop-prop-opt.log,5.962118055555555,103,,79.0,logs\opt_weight_search\trial0042-base-base-opt.log,6.841034722222222,141,,77.5,6.401576388888889,122.0,78.25
43,0.1,0.05,0.1,0.01,0.1,0.5,-0.01,0.5,logs\opt_weight_search\trial0043-prop-prop-opt.log,6.353048611111111,90,,75.5,logs\opt_weight_search\trial0043-base-base-opt.log,6.587562500000001,108,,77.5,6.470305555555556,99.0,76.5
44,0.1,0.05,0.1,0.01,0.1,0.5,-0.01,1.0,logs\opt_weight_search\trial0044-prop-prop-opt.log,6.353048611111111,90,,75.5,logs\opt_weight_search\trial0044-base-base-opt.log,6.587562500000001,108,,77.5,6.470305555555556,99.0,76.5
45,0.1,0.05,0.1,0.01,0.1,0.5,0,0.5,logs\opt_weight_search\trial0045-prop-prop-opt.log,6.248458333333334,109,,79.0,logs\opt_weight_search\trial0045-base-base-opt.log,6.884388888888889,109,,73.5,6.566423611111111,109.0,76.25
46,0.1,0.05,0.1,0.01,0.1,0.5,0,1.0,logs\opt_weight_search\trial0046-prop-prop-opt.log,6.248458333333334,109,,79.0,logs\opt_weight_search\trial0046-base-base-opt.log,6.884388888888889,109,,73.5,6.566423611111111,109.0,76.25
47,0.1,0.05,0.1,0.01,0.1,0.5,0.01,0.5,logs\opt_weight_search\trial0047-prop-prop-opt.log,6.307611111111111,98,,78.5,logs\opt_weight_search\trial0047-base-base-opt.log,6.945645833333333,116,,76.5,6.626628472222222,107.0,77.5
48,0.1,0.05,0.1,0.01,0.1,0.5,0.01,1.0,logs\opt_weight_search\trial0048-prop-prop-opt.log,6.307611111111111,98,,78.5,logs\opt_weight_search\trial0048-base-base-opt.log,6.945645833333333,116,,76.5,6.626628472222222,107.0,77.5
49,0.1,0.05,0.1,0.05,0.0,0.5,-0.1,0.5,logs\opt_weight_search\trial0049-prop-prop-opt.log,6.273875,102,,80.0,logs\opt_weight_search\trial0049-base-base-opt.log,6.462826388888889,96,,73.0,6.368350694444445,99.0,76.5
50,0.1,0.05,0.1,0.05,0.0,0.5,-0.1,1.0,logs\opt_weight_search\trial0050-prop-prop-opt.log,6.273875,102,,80.0,logs\opt_weight_search\trial0050-base-base-opt.log,6.462826388888889,96,,73.0,6.368350694444445,99.0,76.5
51,0.1,0.05,0.1,0.05,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0051-prop-prop-opt.log,6.313520833333333,105,,78.5,logs\opt_weight_search\trial0051-base-base-opt.log,6.685965277777778,107,,78.5,6.499743055555555,106.0,78.5
52,0.1,0.05,0.1,0.05,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0052-prop-prop-opt.log,6.313520833333333,105,,78.5,logs\opt_weight_search\trial0052-base-base-opt.log,6.685965277777778,107,,78.5,6.499743055555555,106.0,78.5
53,0.1,0.05,0.1,0.05,0.0,0.5,0,0.5,logs\opt_weight_search\trial0053-prop-prop-opt.log,6.5528055555555556,115,,79.0,logs\opt_weight_search\trial0053-base-base-opt.log,6.51523611111111,107,,78.0,6.534020833333333,111.0,78.5
54,0.1,0.05,0.1,0.05,0.0,0.5,0,1.0,logs\opt_weight_search\trial0054-prop-prop-opt.log,6.5528055555555556,115,,79.0,logs\opt_weight_search\trial0054-base-base-opt.log,6.51523611111111,107,,78.0,6.534020833333333,111.0,78.5
55,0.1,0.05,0.1,0.05,0.0,0.5,0.01,0.5,logs\opt_weight_search\trial0055-prop-prop-opt.log,6.3933333333333335,103,,79.0,logs\opt_weight_search\trial0055-base-base-opt.log,6.710763888888889,100,,76.5,6.552048611111111,101.5,77.75
56,0.1,0.05,0.1,0.05,0.0,0.5,0.01,1.0,logs\opt_weight_search\trial0056-prop-prop-opt.log,6.3933333333333335,103,,79.0,logs\opt_weight_search\trial0056-base-base-opt.log,6.710763888888889,100,,76.5,6.552048611111111,101.5,77.75
57,0.1,0.05,0.1,0.05,0.1,0.5,-0.1,0.5,logs\opt_weight_search\trial0057-prop-prop-opt.log,6.273875,102,,80.0,logs\opt_weight_search\trial0057-base-base-opt.log,6.462826388888889,96,,73.0,6.368350694444445,99.0,76.5
58,0.1,0.05,0.1,0.05,0.1,0.5,-0.1,1.0,logs\opt_weight_search\trial0058-prop-prop-opt.log,6.273875,102,,80.0,logs\opt_weight_search\trial0058-base-base-opt.log,6.462826388888889,96,,73.0,6.368350694444445,99.0,76.5
59,0.1,0.05,0.1,0.05,0.1,0.5,-0.01,0.5,logs\opt_weight_search\trial0059-prop-prop-opt.log,6.353076388888889,105,,78.5,logs\opt_weight_search\trial0059-base-base-opt.log,6.685965277777778,107,,78.5,6.519520833333333,106.0,78.5
60,0.1,0.05,0.1,0.05,0.1,0.5,-0.01,1.0,logs\opt_weight_search\trial0060-prop-prop-opt.log,6.353076388888889,105,,78.5,logs\opt_weight_search\trial0060-base-base-opt.log,6.685965277777778,107,,78.5,6.519520833333333,106.0,78.5
61,0.1,0.05,0.1,0.05,0.1,0.5,0,0.5,logs\opt_weight_search\trial0061-prop-prop-opt.log,6.5528055555555556,115,,79.0,logs\opt_weight_search\trial0061-base-base-opt.log,6.51523611111111,107,,78.0,6.534020833333333,111.0,78.5
62,0.1,0.05,0.1,0.05,0.1,0.5,0,1.0,logs\opt_weight_search\trial0062-prop-prop-opt.log,6.5528055555555556,115,,79.0,logs\opt_weight_search\trial0062-base-base-opt.log,6.51523611111111,107,,78.0,6.534020833333333,111.0,78.5
63,0.1,0.05,0.1,0.05,0.1,0.5,0.01,0.5,logs\opt_weight_search\trial0063-prop-prop-opt.log,6.3933333333333335,103,,79.0,logs\opt_weight_search\trial0063-base-base-opt.log,6.710763888888889,100,,76.5,6.552048611111111,101.5,77.75
64,0.1,0.05,0.1,0.05,0.1,0.5,0.01,1.0,logs\opt_weight_search\trial0064-prop-prop-opt.log,6.3933333333333335,103,,79.0,logs\opt_weight_search\trial0064-base-base-opt.log,6.710763888888889,100,,76.5,6.552048611111111,101.5,77.75
